id	title	cluster
6976e27a6f8075bba5e5e1fc	Venezuela releases over 100 political prisoners — NGO	35
6976e2e06f8075bba5e5e255	Seahawks advance to Super Bowl with thrilling 31-27 win over Rams in NFC title game	4
6976e34e6f8075bba5e5e301	Man feared drowned during idol immersion in Yamuna in East Delhi’s Mayur Vihar	-1
6976e3386f8075bba5e5e2da	American rock climber Alex Honnold reaches top of Taipei 101 skyscraper without ropes	7
6976e34e6f8075bba5e5e302	Art, social service and literature: Five from Gujarat get Padma Shri	-1
6976e31f6f8075bba5e5e2a7	Prince Harry and Meghan Markle make Sundance debut as they premiere Girl Scout documentary	-1
6976e31f6f8075bba5e5e2a8	JD Vance shares ‘crazy' story of ICE and CBP officers being mobbed in Minneapolis	38
6976e2ad6f8075bba5e5e254	Sussan Ley dismisses Liberal leadership speculation as ‘media frenzy’, as Andrew Hastie, Angus Taylor circle	3
6976e27a6f8075bba5e5e1fd	Hundreds rescued after ferry sinks in Philippines	21
6976e3286f8075bba5e5e2bc	Australia Day Unity Call amid Celebrations and Protests	-1
6976e34e6f8075bba5e5e303	Special remission for certain categories of prisoners announced by Delhi govt to mark Republic Day	-1
6976e2e06f8075bba5e5e256	Britain 'discreetly bringing back Islamic State brides’ from Syria	36
6976e34e6f8075bba5e5e304	32-year-old man shot dead in Northeast’s Shastri Park; probe underway	-1
6976e34e6f8075bba5e5e305	On Republic Day, what’s going to be the next Indian superfood?	-1
6976e3396f8075bba5e5e2db	Heavy snow strands 7,000 travelers at Hokkaido's 'landlocked' New Chitose Airport	-1
6976e34e6f8075bba5e5e306	‘I cried in front of 100 people’: Vikrant Massey recalls being shouted at by director, says he felt humiliated	-1
6976e2a26f8075bba5e5e241	Iconic Joshua trees bloomed earlier than usual this year — and it could spell trouble for a little-known bug	-1
6976e34f6f8075bba5e5e307	R-Day: 16 police officers from Gujarat get service medals	52
6976dc88f1d65c147ded22f8	Yen hits 2-month high vs. dollar at 153, Tokyo stocks plunge	10
6976dc62f1d65c147ded2276	Minneapolis locals pay respects to man killed by US agents	38
6976dd32f1d65c147ded246a	Tearful goodbyes as Japan returns pandas to China amid worsening ties	5
6976e31f6f8075bba5e5e2a9	Federal immigration officials privately fume over DHS claims after deadly Minnesota shooting	38
6976dca5f1d65c147ded2381	Private plane carrying 8 passengers crashes in Bangor, Maine, as Winter Storm Fern batters state	16
6976dd21f1d65c147ded242e	Austrian opposition party leader demands top diplomat’s resignation over Ukraine support	-1
6976dc51f1d65c147ded2220	At Least 15 Dead After Ferry Carrying 350 Sinks in the Philippines	21
6976dc24f1d65c147ded2122	Asia-Pacific stocks trade mixed as geopolitical worries keep investors on edge	-1
6976dc93f1d65c147ded231e	Hundreds of thousands without power as major winter storm hits US	15
6976dc4df1d65c147ded220b	 A minute-by-minute timeline of the fatal shooting of Alex Pretti by a federal agent	38
